

network,station id,start_date,end_date, lat,lon,elev,element,state,county,Subwatershed,site_name,site_info_link,cdbs_id,shef_id,gmt_offset,
scan,1234,2012-09-23,2100-01-01,  59.13,-159.09,    100,Soil Moisture Percent,AK,Dillingham,Middle Weary River,Weary Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1234,59K01S  ,WRYA2,9.0,
scan,2057,2002-02-23,2100-01-01,  34.78, -86.55,    860,Soil Moisture Percent,AL,Madison,Acuff Spring-Flint River,AAMU-JTG,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2057,SC2057  ,AAMA1,6.0,
scan,2078,2003-08-25,2100-01-01,  34.89, -86.60,    798,Soil Moisture Percent,AL,Madison,Lower Brier Fork,Bragg Farm,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2078,SC2078  ,BRAA1,6.0,
scan,2177,2010-04-12,2100-01-01,  32.28, -86.05,    269,Soil Moisture Percent,AL,Montgomery,Johnsons Creek,Broad Acres,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2177,SC2177  ,BDAA1,6.0,
scan,2113,2006-05-16,2100-01-01,  34.19, -86.80,    799,Soil Moisture Percent,AL,Cullman,Eightmile Creek,Cullman-NAHRC,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2113,SC2113  ,CNSA1,6.0,
scan,2174,2010-04-09,2100-01-01,  33.11, -88.31,    160,Soil Moisture Percent,AL,Pickens,Dinsmore-Bogue Chitto,Dee River Ranch,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2174,SC2174  ,DEEA1,6.0,
scan,2055,2002-02-23,2100-01-01,  34.44, -86.17,    730,Soil Moisture Percent,AL,Marshall,Minky Creek-Town Creek,Hodges,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2055,SC2055  ,HDGA1,6.0,
scan,2173,2010-04-08,2100-01-01,  34.82, -87.99,    603,Soil Moisture Percent,AL,Colbert,Colbert Creek-Pickwick Lake,Isbell Farms,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2173,SC2173  ,ISBA1,6.0,
scan,2180,2010-05-07,2100-01-01,  30.52, -87.70,    135,Soil Moisture Percent,AL,Baldwin,Middle Fish River,Koptis Farms,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2180,SC2180  ,KOPA1,6.0,
scan,2114,2006-05-17,2100-01-01,  32.61, -88.20,    144,Soil Moisture Percent,AL,Sumter,Shumulla Creek-Sucarnoochee River,Livingston-UWA,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2114,SC2114  ,LVSA1,6.0,
scan,2178,2010-04-13,2100-01-01,  32.41, -85.91,    220,Soil Moisture Percent,AL,Macon,Lower Calebee Creek,Morris Farms,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2178,SC2178  ,MRSA1,6.0,
scan,2181,2010-05-08,2100-01-01,  31.11, -87.55,    299,Soil Moisture Percent,AL,Escambia,Headwaters Perdido River,Perdido Riv Farms,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2181,SC2181  ,PRDA1,6.0,
scan,2182,2010-05-09,2100-01-01,  31.02, -85.04,    107,Soil Moisture Percent,AL,Houston,Irwin Mill Creek-Chattahoochee River,River Road Farms,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2182,SC2182  ,RVRA1,6.0,
scan,2176,2010-04-11,2100-01-01,  32.40, -86.89,    140,Soil Moisture Percent,AL,Dallas,Beech Creek,Selma,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2176,SC2176  ,SMAA1,6.0,
scan,2056,2002-02-23,2100-01-01,  34.43, -86.68,    635,Soil Moisture Percent,AL,Morgan,Middle Cotaco Creek,Stanley Farm,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2056,SC2056  ,STAA1,6.0,
scan,2179,2010-04-14,2100-01-01,  34.18, -87.46,    772,Soil Moisture Percent,AL,Winston,Widows Creek-Clear Creek,Sudduth Farms,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2179,SC2179  ,SUDA1,6.0,
scan,2115,2006-05-18,2100-01-01,  32.43, -85.75,    400,Soil Moisture Percent,AL,Macon,Middle Calebee Creek,Tuskegee,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2115,SC2115  ,TKSA1,6.0,
scan,2175,2010-04-10,2100-01-01,  33.33, -85.52,    934,Soil Moisture Percent,AL,Randolph,Allen Branch,Wedowee,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2175,SC2175  ,WEDA1,6.0,
scan,2053,2002-02-04,2100-01-01,  34.90, -86.53,    625,Soil Moisture Percent,AL,Madison,Lower Brier Fork,Wtars,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2053,SC2053  ,WTAA1,6.0,
scan,2083,2004-02-05,2100-01-01,  34.25, -92.03,    232,Soil Moisture Percent,AR,Jefferson,Caney Creek-Caney Bayou,Uapb Campus-PB,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2083,SC2083  ,UAPA4,6.0,
scan,2091,2004-05-06,2100-01-01,  34.28, -91.35,    197,Soil Moisture Percent,AR,Arkansas,Prices Branch-Little La Grue Bayou,Uapb Dewitt,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2091,SC2091  ,DWTA4,6.0,
scan,2090,2004-05-04,2100-01-01,  35.21, -92.92,    315,Soil Moisture Percent,AR,Pope,Khun Bayou-Arkansas River,Uapb Point Remove,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2090,SC2090  ,POIA4,6.0,
scan,2085,2004-02-07,2100-01-01,  35.28, -90.45,    213,Soil Moisture Percent,AR,Crittenden,Gibson Bayou-Tyronza River,Uapb-Earle,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2085,SC2085  ,UAEA4,6.0,
scan,2030,1999-09-16,2100-01-01,  34.85, -91.88,    250,Soil Moisture Percent,AR,Lonoke,Locust Creek-Wattersaw Bayou,Uapb-Lonoke Farm,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2030,SC2030  ,LNKA4,6.0,
scan,2084,2004-02-06,2100-01-01,  34.78, -90.82,    217,Soil Moisture Percent,AR,Lee,Town of Cypress Corner-Big Cypress Creek,Uapb-Marianna,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2084,SC2084  ,UAMA4,6.0,
scan,2026,1999-03-19,2100-01-01,  31.73,-110.05,   4500,Soil Moisture Percent,AZ,Cochise,Escalante Wash-San Pedro River,Walnut Gulch #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2026,SC2026  ,WGHA3,7.0,
scan,2214,2014-10-23,2100-01-01,  41.05,-120.69,   5097,Soil Moisture Percent,CA,Lassen,Ash Valley-Ash Creek,Ash Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2214,SC2214  ,VYAC1,8.0,
scan,2215,2014-10-24,2100-01-01,  38.26,-119.13,   7825,Soil Moisture Percent,CA,Mono,Aurora Canyon,Bodie Hills,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2215,SC2215  ,HBDC1,8.0,
scan,2189,2012-06-07,2100-01-01,  35.12,-119.60,   2697,Soil Moisture Percent,CA,San Luis Obispo,Black Sulphur Spring-Carrizo Plain,Cochora Ranch,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2189,SC2189  ,CXXC1,8.0,
scan,2190,2012-06-08,2100-01-01,  36.33,-116.35,   2062,Soil Moisture Percent,CA,Inyo,Ash Meadows,Death Valley Jct,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2190,SC2190  ,DVJC1,8.0,
scan,2187,2011-11-21,2100-01-01,  37.37,-117.97,   5399,Soil Moisture Percent,CA,Inyo,Lower Wyman Creek,Deep Springs,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2187,SC2187  ,DPSC1,8.0,
scan,2183,2011-11-16,2100-01-01,  33.80,-115.31,    556,Soil Moisture Percent,CA,Riverside,181001004703-Pinto Wash,Desert Center,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2183,SC2183  ,ERTC1,8.0,
scan,2191,2012-06-10,2100-01-01,  37.63,-118.83,   7340,Soil Moisture Percent,CA,Mono,Convict Creek,Doe Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2191,SC2191  ,DOEC1,8.0,
scan,2192,2012-06-12,2100-01-01,  40.62,-120.72,   5134,Soil Moisture Percent,CA,Lassen,Merrill Creek-Frontal Eagle Lake,Eagle Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2192,SC2192  ,EALC1,8.0,
scan,2185,2011-11-19,2100-01-01,  34.67,-115.17,   2644,Soil Moisture Percent,CA,San Bernardino,Honeymoon Wash-Watson Wash,Essex,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2185,SC2185  ,EXCC1,8.0,
scan,2184,2011-11-16,2100-01-01,  33.65,-115.10,    394,Soil Moisture Percent,CA,Riverside,181001005405,Ford Dry Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2184,SC2184  ,RDLC1,8.0,
scan,2218,2014-10-22,2100-01-01,  40.79,-122.55,   3704,Soil Moisture Percent,CA,Shasta,East Fork Clear Creek-Clear Creek,French Gulch,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2218,SC2218  ,FGLC1,8.0,
scan,2149,2009-05-06,2100-01-01,  37.78,-118.42,   6183,Soil Moisture Percent,CA,Mono,Rock Creek-Spring Canyon Creek,Marble Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2149,SC2149  ,MCXC1,8.0,
scan,2217,2014-10-29,2100-01-01,  36.54,-120.55,    875,Soil Moisture Percent,CA,Fresno,Town of Levis,Monocline Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2217,SC2217  ,RGMC1,8.0,
scan,2186,2011-11-18,2100-01-01,  35.47,-115.72,   3643,Soil Moisture Percent,CA,San Bernardino,Halloran Summit,Shadow Mtns,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2186,SC2186  ,DWMC1,8.0,
scan,2219,2014-10-31,2100-01-01,  34.97,-119.48,   2995,Soil Moisture Percent,CA,San Luis Obispo,Padrones Spring-Carrizo Plain,Stubblefield,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2219,SC2219  ,DLFC1,8.0,
scan,2197,2013-09-12,2100-01-01,  40.82,-104.71,   5330,Soil Moisture Percent,CO,Weld,Headwaters Owl Creek,CPER,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2197,SC2197  ,CPEC2,7.0,
scan,2017,1997-03-17,2100-01-01,  40.87,-104.73,   5900,Soil Moisture Percent,CO,Weld,Headwaters Owl Creek,Nunn #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2017,SC2017  ,NUNC2,7.0,
scan,2051,1999-02-01,2100-01-01,  25.50, -80.55,      9,Soil Moisture Percent,FL,Miami-dade,Upper Princeton Canal,Everglades ARS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2051,SC2051  ,EARF1,5.0,
scan,2012,1997-04-28,2100-01-01,  29.10, -81.63,     75,Soil Moisture Percent,FL,Lake,Sellers Lake,Sellers Lake #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2012,SC2012  ,SLKF1,5.0,
scan,2009,1996-12-10,2100-01-01,  30.30, -84.42,    150,Soil Moisture Percent,FL,Leon,Black Creek-Wakulla Springs,Wakulla #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2009,SC2009  ,WAKF1,5.0,
scan,2027,1999-05-19,2100-01-01,  31.50, -83.55,    350,Soil Moisture Percent,GA,Tift,Cow House Branch-Little River,Little River,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2027,SC2027  ,LRVG1,5.0,
scan,2013,1997-04-21,2100-01-01,  33.88, -83.43,    770,Soil Moisture Percent,GA,Oconee,Lower Barber Creek,Watkinsville #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2013,SC2013  ,WKSG1,5.0,
scan,2100,2005-02-22,2019-01-03,  20.00,-155.29,   1160,Soil Moisture Percent,HI,Hawaii,Kaula Gulch,Island Dairy,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2100,SC2100  ,ILDH1,10.0,
scan,2096,2005-02-10,2100-01-01,  19.53,-155.93,   1364,Soil Moisture Percent,HI,Hawaii,Keauhou Bay,Kainaliu,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2096,SC2096  ,KXXH1,10.0,
scan,2103,2005-02-23,2100-01-01,  19.91,-155.59,   4163,Soil Moisture Percent,HI,Hawaii,Kemole Gulch,Kemole Gulch,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2103,SC2103  ,KEGH1,10.0,
scan,2097,2005-02-11,2100-01-01,  20.10,-155.51,    947,Soil Moisture Percent,HI,Hawaii,Kahaupu Gulch,Kukuihaele,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2097,SC2097  ,KXAH1,10.0,
scan,2102,2005-02-18,2100-01-01,  19.96,-155.54,   4234,Soil Moisture Percent,HI,Hawaii,Waipunahoe Gulch,Mana House,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2102,SC2102  ,MANH1,10.0,
scan,2098,2005-02-16,2100-01-01,  19.79,-155.33,   6394,Soil Moisture Percent,HI,Hawaii,Ainahou,Pua Akala,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2098,SC2098  ,PKLH1,10.0,
scan,2101,2005-02-19,2100-01-01,  19.77,-155.42,   9324,Soil Moisture Percent,HI,Hawaii,Waiaama Gulch,Silver Sword,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2101,SC2101  ,SLVH1,10.0,
scan,2099,2005-02-17,2100-01-01,  20.01,-155.60,   3039,Soil Moisture Percent,HI,Hawaii,Waiulili Stream,Waimea Plain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2099,SC2099  ,WPLH1,10.0,
scan,2031,2001-09-19,2100-01-01,  42.02, -93.73,   1073,Soil Moisture Percent,IA,Boone,Worrell Creek-Squaw Creek,Ames,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2031,SC2031  ,AMMI4,6.0,
scan,2068,2002-06-19,2100-01-01,  42.43, -95.77,   1400,Soil Moisture Percent,IA,Woodbury,Coon Creek,Shagbark Hills,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2068,SC2068  ,SHAI4,6.0,
scan,2148,2008-12-10,2100-01-01,  42.95,-117.01,   4508,Soil Moisture Percent,ID,Owyhee,Glass Gulch-Jordan Creek,Jordan Valley Cwma,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2148,SC2148  ,JVCI1,7.0,
scan,674,2004-03-19,2100-01-01,  43.32,-116.00,   3200,Soil Moisture Percent,ID,Ada,Brown Creek,Orchard Range Site,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=674,16F07S  ,ORRI1,7.0,
scan,2004,1997-04-21,2100-01-01,  40.32, -89.90,    570,Soil Moisture Percent,IL,Mason,Quiver Creek-Mason Tazewell Drainage Ditch,Mason #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2004,SC2004  ,MASI2,6.0,
scan,2092,2004-06-21,2100-01-01,  37.13, -97.09,   1194,Soil Moisture Percent,KS,Cowley,Salt Creek-Arkansas River,Abrams,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2092,SC2092  ,ABRK1,6.0,
scan,2094,2004-06-24,2100-01-01,  39.70, -96.16,   1302,Soil Moisture Percent,KS,Nemaha,Town of Centralia-Black Vermillion River,Centralia Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2094,SC2094  ,CTRK1,6.0,
scan,2147,2008-08-20,2100-01-01,  39.05, -95.19,   1102,Soil Moisture Percent,KS,Jefferson,Lake Dabanawa-Mud Creek,Ku-Nesa,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2147,SC2147  ,KUNK1,6.0,
scan,2093,2004-06-23,2100-01-01,  39.79, -99.33,   1986,Soil Moisture Percent,KS,Phillips,Plotner Creek-Deer Creek,Phillipsburg,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2093,SC2093  ,PHBK1,6.0,
scan,2079,2003-08-28,2100-01-01,  37.19, -86.04,    800,Soil Moisture Percent,KY,Hart,Ugly Creek-Green River,Mammoth Cave,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2079,SC2079  ,MAMK2,6.0,
scan,2005,1997-04-25,2100-01-01,  37.10, -87.83,    615,Soil Moisture Percent,KY,Caldwell,Flynn Fork,Princeton #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2005,SC2005  ,PTNK2,6.0,
scan,2049,2001-10-30,2100-01-01,  39.02, -76.85,    105,Soil Moisture Percent,MD,Prince George's,Upper Anacostia River,Powder Mill,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2049,SC2049  ,PWDM2,5.0,
scan,2002,1996-08-15,2100-01-01,  45.42, -93.95,    980,Soil Moisture Percent,MN,Sherburne,Elk Lake-Elk River,Crescent Lake #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2002,93D01S  ,CSCM5,6.0,
scan,2050,2001-09-25,2100-01-01,  47.72, -96.27,   1125,Soil Moisture Percent,MN,Polk,Kripple Creek,Glacial Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2050,SC2050  ,GLRM5,6.0,
scan,2224,2015-05-15,2100-01-01,  38.50, -92.25,    600,Soil Moisture Percent,MO,Cole,Headwaters Moreau River,Busby Farm,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2224,        ,BSBM7,6.0,
scan,2223,2018-05-14,2100-01-01,  38.53, -92.13,    560,Soil Moisture Percent,MO,Cole,Moreau River,Carver Farm,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2223,        ,CFRM7,6.0,
scan,2195,2014-09-03,2100-01-01,  39.23, -92.12,    852,Soil Moisture Percent,MO,Boone,Goodwater Creek,CMRB LTAR-MO,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2195,SC2195  ,CTSM7,6.0,
scan,2048,2001-09-19,2100-01-01,  36.78, -89.93,    305,Soil Moisture Percent,MO,Stoddard,Main Ditch,Dexter,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2048,SC2048  ,DEXM7,6.0,
scan,2220,2015-08-04,2100-01-01,  39.15, -90.78,    453,Soil Moisture Percent,MO,Lincoln,Lost Creek,Elsberry PMC,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2220,SC2220  ,EBYM7,6.0,
scan,2194,2012-07-24,2100-01-01,  37.00, -92.26,   1106,Soil Moisture Percent,MO,Douglas,Clifty Creek,Journagan Ranch,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2194,SC2194  ,JOUM7,6.0,
scan,2230,2021-07-20,2100-01-01,  37.18, -91.12,      0,Soil Moisture Percent,MO,Shannon,Carr Creek-Current River,LTSP,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2230,        ,     ,6.0,
scan,2225,2018-05-17,2100-01-01,  39.51, -91.51,    730,Soil Moisture Percent,MO,Ralls,Spencer Creek,Mark Twain HS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2225,        ,CNRM7,6.0,
scan,2060,2002-03-27,2100-01-01,  37.07, -93.88,   1150,Soil Moisture Percent,MO,Lawrence,Town of Freistatt-Spring River,Mt Vernon,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2060,SC2060  ,MVEM7,6.0,
scan,2061,2002-03-27,2100-01-01,  38.87, -94.03,    960,Soil Moisture Percent,MO,Johnson,Headwaters South Fork Blackwater River,Powell Gardens,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2061,SC2061  ,PWGM7,6.0,
scan,2193,2012-07-24,2100-01-01,  37.99, -94.04,    793,Soil Moisture Percent,MO,St. Clair,Baker Branch-Osage River,Schell-Osage,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2193,SC2193  ,SCOM7,6.0,
scan,2227,2018-05-16,2100-01-01,  38.48, -90.81,    590,Soil Moisture Percent,MO,Franklin,Brush Creek-Meramec River,Shaw Nature Reserve,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2227,        ,SNRM7,6.0,
scan,2231,2021-07-20,2100-01-01,  37.50, -91.26,      0,Soil Moisture Percent,MO,Unknown,unknown,Sinkin Forest,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2231,        ,     ,6.0,
scan,2047,2001-09-19,2100-01-01,  40.25, -93.72,    911,Soil Moisture Percent,MO,Audrain,Cat Creek-Thompson River,Spickard,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2047,SC2047  ,SPCM7,6.0,
scan,2226,2018-05-22,2100-01-01,  36.99, -91.31,    960,Soil Moisture Percent,MO,Shannon,Upper Pike Creek,Twin Pines Conservation Area,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2226,        ,TPCM7,6.0,
scan,2032,1999-09-17,2100-01-01,  33.38, -90.65,    115,Soil Moisture Percent,MS,Sunflower,Gravel Bayou,Beasley Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2032,SC2032  ,BSYM6,6.0,
scan,2024,1999-01-27,2100-01-01,  34.25, -89.87,    320,Soil Moisture Percent,MS,Panola,Johnson Creek-Long Creek,Goodwin Ck Pasture,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2024,SC2024  ,GCPM6,6.0,
scan,2025,1999-01-27,2100-01-01,  34.23, -89.90,    320,Soil Moisture Percent,MS,Panola,Caney Creek-Long Creek,Goodwin Ck Timber,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2025,SC2025  ,GCTM6,6.0,
scan,2110,2005-09-23,2100-01-01,  32.86, -90.52,    108,Soil Moisture Percent,MS,Yazoo,Wade Bayou,Mayday,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2110,SC2110  ,MAYM6,6.0,
scan,2087,2004-02-10,2100-01-01,  33.00, -91.06,    112,Soil Moisture Percent,MS,Issaquena,South Lake Washington,North Issaquena,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2087,SC2087  ,NORM6,6.0,
scan,2033,1999-09-17,2100-01-01,  32.75, -90.93,    100,Soil Moisture Percent,MS,Sharkey,Deer Creek Mouth,Onward,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2033,SC2033  ,OONM6,6.0,
scan,2046,2002-04-16,2100-01-01,  33.97, -90.90,    200,Soil Moisture Percent,MS,Bolivar,Brook Bayou,Perthshire,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2046,SC2046  ,PERM6,6.0,
scan,2109,2005-09-22,2100-01-01,  33.66, -90.57,    138,Soil Moisture Percent,MS,Sunflower,Standing Stump Bayou,Sandy Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2109,SC2109  ,SRXM6,6.0,
scan,2070,2002-08-12,2100-01-01,  33.62, -91.10,    165,Soil Moisture Percent,MS,Bolivar,Big Monocnoc Lake,Scott,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2070,SC2070  ,SCOM6,6.0,
scan,2086,2004-02-10,2100-01-01,  33.09, -90.51,    115,Soil Moisture Percent,MS,Humphreys,Silver Creek-Silver Creek,Silver City,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2086,SC2086  ,SILM6,6.0,
scan,2064,1999-09-17,2100-01-01,  33.63, -88.77,    340,Soil Moisture Percent,MS,Oktibbeha,Long Branch-Line Creek,Starkville,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2064,SC2064  ,STKM6,6.0,
scan,2082,2003-11-04,2100-01-01,  30.47, -88.74,     43,Soil Moisture Percent,MS,Jackson,Old Fort Bayou,Tnc Fort Bayou,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2082,SC2082  ,TFBM6,6.0,
scan,2034,1999-09-17,2100-01-01,  34.68, -90.42,    260,Soil Moisture Percent,MS,Tunica,Little White Oak Bayou,Tunica,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2034,SC2034  ,TNAM6,6.0,
scan,2035,1999-09-17,2100-01-01,  34.07, -90.35,    150,Soil Moisture Percent,MS,Tallahatchie,Lower Cassidy Bayou,Vance,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2035,SC2035  ,VNCM6,6.0,
scan,2117,2006-10-18,2100-01-01,  48.30,-111.92,   3706,Soil Moisture Percent,MT,Pondera,Letz Lake-Dry Fork Marias River,Conrad Ag Rc,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2117,SC2117  ,COAM8,7.0,
scan,2019,1997-05-12,2100-01-01,  48.48,-109.80,   2710,Soil Moisture Percent,MT,Hill,Lower Beaver Creek,Fort Assiniboine #1,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2019,SC2019  ,FASM8,7.0,
